Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Ragnhild Margrethe Aamodt,F,27.0,Norway,NOR,2008,Beijing,Handball,Handball Women's Handball,Gold
Moonika Aava,F,28.0,Estonia,EST,2008,Beijing,Athletics,Athletics Women's Javelin Throw,None
Jos Luis Abajo Gmez,M,30.0,Spain,ESP,2008,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,Russia,RUS,2008,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Tamara Abalde Daz,F,19.0,Spain,ESP,2008,Beijing,Basketball,Basketball Women's Basketball,None
Aleksey Aleksandrovich Abalmasov,M,28.0,Belarus,BLR,2008,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,M,23.0,France,FRA,2008,Beijing,Handball,Handball Men's Handball,Gold
Ignazio Abate,M,21.0,Italy,ITA,2008,Beijing,Football,Football Men's Football,None
Jol Marc Abati,M,38.0,France,FRA,2008,Beijing,Handball,Handball Men's Handball,Gold
Shakeel Abbasi,M,24.0,Pakistan,PAK,2008,Beijing,Hockey,Hockey Men's Hockey,None
Ruslan Abbasov,M,22.0,Azerbaijan,AZE,2008,Beijing,Athletics,Athletics Men's 100 metres,None
Tural Abbasov,M,18.0,Azerbaijan,AZE,2008,Beijing,Swimming,Swimming Men's 50 metres Freestyle,None
"\"Desmond \"\"Des\"\" Abbott\"",M,21.0,Australia,AUS,2008,Beijing,Hockey,Hockey Men's Hockey,Bronze
Geoffrey Grant Abbott,M,23.0,South Africa,RSA,2008,Beijing,Hockey,Hockey Men's Hockey,None
"\"Kathryn \"\"Katie\"\" Abbott\"",F,21.0,Canada,CAN,2008,Beijing,Sailing,Sailing Women's Three Person Keelboat,None
Monica Cecilia Abbott,F,23.0,United States,USA,2008,Beijing,Softball,Softball Women's Softball,Silver
Khadija Abbouda,F,40.0,Morocco,MAR,2008,Beijing,Archery,Archery Women's Individual,None
Mahmoud Abd El-Kader,M,23.0,Egypt,EGY,2008,Beijing,Volleyball,Volleyball Men's Volleyball,None
Mohamed Ibrahim Abd El-Salam,M,26.0,Egypt,EGY,2008,Beijing,Handball,Handball Men's Handball,None
Noha Abd Rabo,F,21.0,Egypt,EGY,2008,Beijing,Taekwondo,Taekwondo Women's Heavyweight,None
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,None
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,None
Ali Abdalla Afringi,M,25.0,Eritrea,ERI,2008,Beijing,Athletics,"Athletics Men's 5,000 metres",None
Walid Abdel Maksoud,M,29.0,Egypt,EGY,2008,Beijing,Handball,Handball Men's Handball,None
Ahmed Abdel Naeim,M,23.0,Egypt,EGY,2008,Beijing,Volleyball,Volleyball Men's Volleyball,None
Yasser Abdel Rahman Sakr,M,30.0,Egypt,EGY,2008,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",None
Samy Abdel Razek,M,28.0,Egypt,EGY,2008,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",None
Shaimaa Abdel-Latif-Hashad,F,27.0,Egypt,EGY,2008,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Mahmod Abdelaly,M,41.0,Egypt,EGY,2008,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",None
Aziza Abdelfattah,F,17.0,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,None
Abdalla Abdelgadir El-Sheikh,M,21.0,Sudan,SUD,2008,Beijing,Athletics,"Athletics Men's 1,500 metres",None
Mohamed Abdellah,M,40.0,Egypt,EGY,2008,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",None
Abouelfetoh Abdelrazek,M,21.0,Egypt,EGY,2008,Beijing,Handball,Handball Men's Handball,None
Mouni Abderrahim,F,22.0,Algeria,ALG,2008,Beijing,Volleyball,Volleyball Women's Volleyball,None
Youcef Abdi,M,30.0,Australia,AUS,2008,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",None
"\"Abdihakim \"\"Abdi\"\" Abdirahman\"",M,31.0,United States,USA,2008,Beijing,Athletics,"Athletics Men's 10,000 metres",None
Ali Abdo,M,27.0,Australia,AUS,2008,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",None
Hamza Abdo,M,17.0,Palestine,PLE,2008,Beijing,Swimming,Swimming Men's 50 metres Freestyle,None
Shaimaa Abdul Aziz,F,27.0,Egypt,EGY,2008,Beijing,Table Tennis,Table Tennis Women's Singles,None
Dana Abdul Razak (Hussain-),F,22.0,Iraq,IRQ,2008,Beijing,Athletics,Athletics Women's 100 metres,None
"\"Rukayatu \"\"Ruky\"\" Abdulai\"",F,22.0,Canada,CAN,2008,Beijing,Athletics,Athletics Women's Long Jump,None
Ahmad Hassan Abdullah,M,27.0,Qatar,QAT,2008,Beijing,Athletics,"Athletics Men's 10,000 metres",None
lqar Abdulov,M,27.0,Azerbaijan,AZE,2008,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",None
Abir Abdulrahman Khalil Mahmoud Khalil,F,16.0,Egypt,EGY,2008,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight,None
Shaza Yahia Nazih Abdulrahman El-Sayed,F,15.0,Egypt,EGY,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,None
Mohamed Abdultwab Ibrahim Abd El-Baki,M,21.0,Egypt,EGY,2008,Beijing,Weightlifting,Weightlifting Men's Featherweight,None
Rasul Abduraim,M,19.0,Kyrgyzstan,KGZ,2008,Beijing,Taekwondo,Taekwondo Men's Featherweight,None
Yusup Abdusalomov,M,30.0,Tajikistan,TJK,2008,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Shinnosuke Abe,M,29.0,Japan,JPN,2008,Beijing,Baseball,Baseball Men's Baseball,None
Soha Abed Elaal,F,35.0,Egypt,EGY,2008,Beijing,Archery,Archery Women's Individual,None
Brooke Abel,F,20.0,United States,USA,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,None
Jennifer Abel,F,16.0,Canada,CAN,2008,Beijing,Diving,Diving Women's Springboard,None
Katja Abel,F,25.0,Germany,GER,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,None
Katja Abel,F,25.0,Germany,GER,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,None
Katja Abel,F,25.0,Germany,GER,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,None
Katja Abel,F,25.0,Germany,GER,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,None
Katja Abel,F,25.0,Germany,GER,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,None
Arthur Abele,M,22.0,Germany,GER,2008,Beijing,Athletics,Athletics Men's Decathlon,None
Elvan Abeylegesse,F,25.0,Turkey,TUR,2008,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
Elvan Abeylegesse,F,25.0,Turkey,TUR,2008,Beijing,Athletics,"Athletics Women's 10,000 metres",None
Koutoua Francis Abia,M,42.0,Cote d'Ivoire,CIV,2008,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",None
Koutoua Francis Abia,M,42.0,Cote d'Ivoire,CIV,2008,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",None
Pablo Abin Vicen,M,23.0,Spain,ESP,2008,Beijing,Badminton,Badminton Men's Singles,None
Sagat Abikeyeva,F,27.0,Kazakhstan,KAZ,2008,Beijing,Judo,Judo Women's Half-Heavyweight,None
Mitsuhiro Abiko,M,19.0,Japan,JPN,2008,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,None
Inga Eduardovna Abitova,F,26.0,Russia,RUS,2008,Beijing,Athletics,"Athletics Women's 10,000 metres",None
Ashraf Abou El-Hassan,M,33.0,Egypt,EGY,2008,Beijing,Volleyball,Volleyball Men's Volleyball,None
Ibrahim Mohamedin Aboubaker,M,25.0,Qatar,QAT,2008,Beijing,Athletics,Athletics Men's Triple Jump,None
Ara Abrahamian,M,33.0,Sweden,SWE,2008,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Clyde Abrahams,M,29.0,South Africa,RSA,2008,Beijing,Hockey,Hockey Men's Hockey,None
Andrey Viktorovich Abramov,M,24.0,Russia,RUS,2008,Beijing,Archery,Archery Men's Individual,None
Andrey Viktorovich Abramov,M,24.0,Russia,RUS,2008,Beijing,Archery,Archery Men's Team,None
Arnaldo Lus Isaas Abrantes,M,21.0,Portugal,POR,2008,Beijing,Athletics,Athletics Men's 200 metres,None
Morais Santos Abreu,M,40.0,Angola,ANG,2008,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,None
Svetlana Olegovna Abrosimova,F,28.0,Russia,RUS,2008,Beijing,Basketball,Basketball Women's Basketball,Bronze
Julien Absalon,M,27.0,France,FRA,2008,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Najmeh Abtin,F,25.0,Iran,IRI,2008,Beijing,Archery,Archery Women's Individual,None
