Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Andreea Aanei,F,22.0,Romania,ROU,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,None
Nstor Abad Sanjun,M,23.0,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,None
Antonio Abadia Beci,M,26.0,Spain,ESP,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",None
Giovanni Abagnale,M,21.0,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Patimat Abakarova,F,21.0,Azerbaijan,AZE,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
Luc Abalo,M,31.0,France,FRA,2016,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Ilyas Abbadi,M,23.0,Algeria,ALG,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,None
Abubakar Abbas Abbas,M,20.0,Bahrain,BRN,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres,None
Lois Abbingh,F,23.0,Netherlands,NED,2016,Rio de Janeiro,Handball,Handball Women's Handball,None
Salwan Jasim Abbood Abbood,M,24.0,Iraq,IRQ,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,None
Clare Abbott,F,30.0,Ireland,IRL,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",None
Clare Abbott,F,30.0,Ireland,IRL,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",None
Mara Katherine Abbott,F,30.0,United States,USA,2016,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",None
Hossam Abdalla,M,28.0,Egypt,EGY,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,None
Maha Abdalsalam Gouda,F,18.0,Egypt,EGY,2016,Rio de Janeiro,Diving,Diving Women's Platform,None
Ahmed Abdel Naeim,M,31.0,Egypt,EGY,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,None
Samy Abdel Razek,M,36.0,Egypt,EGY,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",None
Samy Abdel Razek,M,36.0,Egypt,EGY,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",None
Shaimaa Abdel-Latif-Hashad,F,35.0,Egypt,EGY,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Ahmed Abdelaal,M,27.0,Egypt,EGY,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,None
Mahmoud Abdelaal,M,24.0,Egypt,EGY,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,None
Mohamed Ali Abdelaal,M,26.0,Egypt,EGY,2016,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,None
Ibrahim Ramadan Ibrahim Abdelbaki,M,28.0,Egypt,EGY,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,None
Ragab Abdelhay Saad Abdelrazek Abdallah,M,25.0,Egypt,EGY,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,None
Ayoub Abdellaoui,M,23.0,Algeria,ALG,2016,Rio de Janeiro,Football,Football Men's Football,None
Leila Abdelmoez,F,19.0,Egypt,EGY,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,None
Ahmed Abdelrahman,M,20.0,Egypt,EGY,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,None
Mamdouh Abdelrehim,M,26.0,Egypt,EGY,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,None
Saeid Morad Abdevali,M,26.0,Iran,IRI,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Bashir Abdi,M,27.0,Belgium,BEL,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",None
Bashir Abdi,M,27.0,Belgium,BEL,2016,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",None
Fawziya Abdoulkarim,F,27.0,Cameroon,CMR,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,None
Berik Abdrakhmanov,M,30.0,Kazakhstan,KAZ,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,None
Maizurah Abdul Rahim,F,17.0,Brunei,BRU,2016,Rio de Janeiro,Athletics,Athletics Women's 200 metres,None
Abdulqdir Abdullayev,M,28.0,Azerbaijan,AZE,2016,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,None
Muminzhon Abdullayev,M,26.0,Uzbekistan,UZB,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",None
Waheed Abdulridha Waheed Karaawi,M,33.0,Iraq,IRQ,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,None
Bekzod Makhamadzhonovich Abdurakhmonov,M,26.0,Uzbekistan,UZB,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",None
Mukhamadmurod Abdurakhmonov,M,29.0,Tajikistan,TJK,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,None
Adlan Aliyevich Abdurashidov,M,26.0,Russia,RUS,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,None
Mojtaba Abedini Shormasti,M,31.0,Iran,IRI,2016,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",None
Jennifer Abel,F,24.0,Canada,CAN,2016,Rio de Janeiro,Diving,Diving Women's Springboard,None
Jennifer Abel,F,24.0,Canada,CAN,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,None
Arthur Abele,M,30.0,Germany,GER,2016,Rio de Janeiro,Athletics,Athletics Men's Decathlon,None
Jos Javier Abella Fanjul,M,22.0,Mexico,MEX,2016,Rio de Janeiro,Football,Football Men's Football,None
Tesfaye Abera Dibaba,M,24.0,Ethiopia,ETH,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,None
Matthew Duncan Abeysinghe,M,20.0,Sri Lanka,SRI,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,None
Narek Abgaryan,M,24.0,Armenia,ARM,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,None
Pablo Abin Vicen,M,31.0,Spain,ESP,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,None
"\"Catherine \"\"Kate\"\" Abilla Awino\"",F,27.0,Kenya,KEN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,None
Camille Anne Franoise Abily,F,31.0,France,FRA,2016,Rio de Janeiro,Football,Football Women's Football,None
Bode Abiodun,M,35.0,Nigeria,NGR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,None
Diana Monteiro Abla,F,21.0,Brazil,BRA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,None
Denis Mikhaylovich Ablyazin,M,24.0,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,24.0,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,None
Denis Mikhaylovich Ablyazin,M,24.0,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24.0,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
Thorine Christelle Aboa Mbeza,F,23.0,Cameroon,CMR,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,None
"\"Matthew \"\"Matt\"\" Abood\"",M,30.0,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,None
