Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
AALERUD Katrine,F,26.0,Norway,NOR,2020,Tokyo,Cycling Road,Women's Road Race,None
AALERUD Katrine,F,26.0,Norway,NOR,2020,Tokyo,Cycling Road,Women's Individual Time Trial,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's All-Around,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Rings,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Vault,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,None
ABAD Nestor,M,28.0,Spain,ESP,2020,Tokyo,Artistic Gymnastics,Men's Team,None
ABAGNALE Giovanni,M,26.0,Italy,ITA,2020,Tokyo,Rowing,Men's Pair Team,None
ABALDE Alberto,M,25.0,Spain,ESP,2020,Tokyo,Basketball,Men Team,None
ABALDE Tamara,F,32.0,Spain,ESP,2020,Tokyo,Basketball,Women Team,None
ABALO Luc,M,36.0,France,FRA,2020,Tokyo,Handball,Men Team,Gold
ABAROA Cesar,M,24.0,Chile,CHI,2020,Tokyo,Rowing,Lightweight Men's Double Sculls Team,None
ABASS Abobakr,M,22.0,Sudan,SUD,2020,Tokyo,Swimming,Men's 100m Breaststroke,None
ABBAGNALE Vincenzo,M,28.0,Italy,ITA,2020,Tokyo,Rowing,Men's Pair Team,None
ABBASALI Hamideh,F,31.0,Iran,IRI,2020,Tokyo,Karate,Women's Kumite +61kg,None
ABBASOV Islam,M,25.0,Azerbaijan,AZE,2020,Tokyo,Wrestling,Men's Greco-Roman 87kg,None
ABBINGH Lois,F,28.0,Netherlands,NED,2020,Tokyo,Handball,Women Team,None
ABBOT Emily,F,24.0,Australia,AUS,2020,Tokyo,Rhythmic Gymnastics,Group All-Around Team,None
ABBOTT Monica,F,36.0,United States,USA,2020,Tokyo,Baseball/Softball,Softball Team,Silver
ABDALLA Abubaker Haydar,M,24.0,Qatar,QAT,2020,Tokyo,Athletics,Men's 800m,None
ABDALRASOOL Mohamed,M,28.0,Sudan,SUD,2020,Tokyo,Judo,Men -73 kg,None
ABDEL LATIF Radwa,F,31.0,Egypt,EGY,2020,Tokyo,Shooting,10m Air Pistol Women,None
ABDEL LATIF Radwa,F,31.0,Egypt,EGY,2020,Tokyo,Shooting,10m Air Pistol Mixed Team,None
ABDEL RAZEK Samy,M,41.0,Egypt,EGY,2020,Tokyo,Shooting,10m Air Pistol Men,None
ABDEL RAZEK Samy,M,41.0,Egypt,EGY,2020,Tokyo,Shooting,10m Air Pistol Mixed Team,None
ABDELAAL Mohamed,M,31.0,Egypt,EGY,2020,Tokyo,Judo,Men -81 kg,None
ABDELAZIZ Abdalla,M,22.0,Egypt,EGY,2020,Tokyo,Karate,Men's Kumite -75kg,None
ABDELAZIZ Farah,F,28.0,Egypt,EGY,2020,Tokyo,Table Tennis,Women's Team,None
