Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Fritz Aanes,M,26.0,Norway,NOR,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Moonika Aava,F,24.0,Estonia,EST,2004,Athina,Athletics,Athletics Women's Javelin Throw,None
Aleksey Aleksandrovich Abalmasov,M,24.0,Belarus,BLR,2004,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",None
Giorgos Abalof,M,22.0,Greece,GRE,2004,Athina,Fencing,"Fencing Men's epee, Individual",None
Georgios Abaris,M,22.0,Greece,GRE,2004,Athina,Football,Football Men's Football,None
Stephen Anthony Abas,M,26.0,United States,USA,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Tamila Rashidovna Abasova,F,21.0,Russia,RUS,2004,Athina,Cycling,Cycling Women's Sprint,Silver
Tamila Rashidovna Abasova,F,21.0,Russia,RUS,2004,Athina,Cycling,Cycling Women's 500 metres Time Trial,None
Jol Marc Abati,M,34.0,France,FRA,2004,Athina,Handball,Handball Men's Handball,None
Georgia Abatzidou,F,35.0,Greece,GRE,2004,Athina,Athletics,Athletics Women's Marathon,None
Carlos Rodolfo Abaunza Balladares,M,18.0,Nicaragua,NCA,2004,Athina,Athletics,Athletics Men's 100 metres,None
Bassim Abbas Kati Al-Ogaili,M,22.0,Iraq,IRQ,2004,Athina,Football,Football Men's Football,None
Mohammed Abbas Sabih,M,26.0,Iraq,IRQ,2004,Athina,Swimming,Swimming Men's 100 metres Freestyle,None
Nader Sufyan Abbas,M,28.0,Qatar,QAT,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,None
Sohail Abbas,M,29.0,Pakistan,PAK,2004,Athina,Hockey,Hockey Men's Hockey,None
Shakeel Abbasi,M,20.0,Pakistan,PAK,2004,Athina,Hockey,Hockey Men's Hockey,None
Mohamed Ibrahim Abd El-Fatah Mohamed,M,26.0,Egypt,EGY,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Mohamed Ibrahim Abd El-Salam,M,22.0,Egypt,EGY,2004,Athina,Handball,Handball Men's Handball,None
Nia Nicole Abdallah,F,20.0,United States,USA,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Heba Abdel Gawad,F,22.0,Egypt,EGY,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,None
Ragy Abdel Hady,M,30.0,Egypt,EGY,2004,Athina,Water Polo,Water Polo Men's Water Polo,None
Karim Abdel Mohsen,M,25.0,Egypt,EGY,2004,Athina,Water Polo,Water Polo Men's Water Polo,None
Ibrahim Ahmed Abdel Rehim,M,21.0,Egypt,EGY,2004,Athina,Fencing,"Fencing Men's epee, Team",None
Shaimaa Abdel-Latif-Hashad,F,23.0,Egypt,EGY,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Mohamed Abdellah,M,36.0,Egypt,EGY,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",None
"\"Abdihakim \"\"Abdi\"\" Abdirahman\"",M,27.0,United States,USA,2004,Athina,Athletics,"Athletics Men's 10,000 metres",None
Ali Abdo,M,23.0,Australia,AUS,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",None
Raouf Abdou,M,22.0,Egypt,EGY,2004,Athina,Modern Pentathlon,Modern Pentathlon Men's Individual,None
Patmawati Abdul Wahid,F,32.0,Indonesia,INA,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,None
Haidar Abdul-Amir Hassan,M,21.0,Iraq,IRQ,2004,Athina,Football,Football Men's Football,None
Haidar Abdul-Razzaq Hassan,M,22.0,Iraq,IRQ,2004,Athina,Football,Football Men's Football,None
Aquil Hashim Abdullah (Shumate-),M,31.0,United States,USA,2004,Athina,Rowing,Rowing Men's Double Sculls,None
Namiq Yadulla Abdullayev,M,33.0,Azerbaijan,AZE,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",None
Sherzod Abdurahmonov,M,22.0,Uzbekistan,UZB,2004,Athina,Boxing,Boxing Men's Middleweight,None
Yusup Abdusalomov,M,26.0,Tajikistan,TJK,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",None
Aybek Abdymomunov,M,18.0,Kyrgyzstan,KGZ,2004,Athina,Boxing,Boxing Men's Bantamweight,None
Yuki Abe,M,22.0,Japan,JPN,2004,Athina,Football,Football Men's Football,None
Sonia Abejn Esteban,F,19.0,Spain,ESP,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,None
Mara Abel Diguez,F,29.0,Spain,ESP,2004,Athina,Athletics,Athletics Women's Marathon,None
Elvan Abeylegesse,F,21.0,Turkey,TUR,2004,Athina,Athletics,"Athletics Women's 1,500 metres",None
Elvan Abeylegesse,F,21.0,Turkey,TUR,2004,Athina,Athletics,"Athletics Women's 5,000 metres",None
Ceyhun Abiyev,M,29.0,Azerbaijan,AZE,2004,Athina,Boxing,Boxing Men's Light-Flyweight,None
Ibrahim Mohamedin Aboubaker,M,21.0,Qatar,QAT,2004,Athina,Athletics,Athletics Men's Triple Jump,None
El-Sayed Aboumedan,M,26.0,Egypt,EGY,2004,Athina,Judo,Judo Men's Half-Middleweight,None
Sdonoud Janvier Abouta,M,23.0,Mali,MLI,2004,Athina,Football,Football Men's Football,None
Ara Abrahamian,M,29.0,Sweden,SWE,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Pavel Sergeyevich Abramov,M,25.0,Russia,RUS,2004,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Glauclio Serro Abreu,M,26.0,Brazil,BRA,2004,Athina,Boxing,Boxing Men's Middleweight,None
Julien Absalon,M,23.0,France,FRA,2004,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Abdul Wahab Abu Al-Hail Labid,M,27.0,Iraq,IRQ,2004,Athina,Football,Football Men's Football,None
Omar Abu-Fares,M,19.0,Jordan,JOR,2004,Athina,Swimming,Swimming Men's 100 metres Backstroke,None
Nagmeldin Ali Abubakr,M,18.0,Sudan,SUD,2004,Athina,Athletics,Athletics Men's 400 metres,None
Sanna Abubkheet,F,19.0,Palestine,PLE,2004,Athina,Athletics,Athletics Women's 800 metres,None
Hamza Abughalia,M,23.0,Libya,LBA,2004,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,None
Fartun Abukar Omar,F,18.0,Somalia,SOM,2004,Athina,Athletics,Athletics Women's 100 metres,None
Shigeru Aburaya,M,27.0,Japan,JPN,2004,Athina,Athletics,Athletics Men's Marathon,None
Cristobal Alejandro Aburto Tinoco,M,28.0,Mexico,MEX,2004,Athina,Judo,Judo Men's Extra-Lightweight,None
Anas Sameer N. H. Abuyousuf,M,14.0,Qatar,QAT,2004,Athina,Swimming,Swimming Men's 400 metres Freestyle,None
Sharath Kamal Achanta,M,22.0,India,IND,2004,Athina,Table Tennis,Table Tennis Men's Singles,None
"\"Nathaniel Leedom \"\"Nate\"\" Ackerman\"",M,26.0,Great Britain,GBR,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",None
"\"Amelia Lynn \"\"Amy\"\" Acuff (-Harvey)\"",F,29.0,United States,USA,2004,Athina,Athletics,Athletics Women's High Jump,None
Miho Adachi,F,25.0,Japan,JPN,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",None
Ali Enver Adakan,M,27.0,Turkey,TUR,2004,Athina,Sailing,Sailing Men's One Person Dinghy,None
Adalberto Pereira da Silva,M,25.0,Brazil,BRA,2004,Athina,Handball,Handball Men's Handball,None
Tony Adam,M,18.0,Germany,GER,2004,Athina,Diving,Diving Men's Platform,None
Luke Kendall Adams,M,27.0,Australia,AUS,2004,Athina,Athletics,Athletics Men's 20 kilometres Walk,None
Valerie Kasanita Adams-Vili (-Price),F,19.0,New Zealand,NZL,2004,Athina,Athletics,Athletics Women's Shot Put,None
Morten Gundro Adamsen,M,22.0,Norway,NOR,2004,Athina,Rowing,Rowing Men's Double Sculls,None
"\"Frances \"\"Fran\"\" Adcock\"",F,20.0,Australia,AUS,2004,Athina,Swimming,Swimming Women's 200 metres Backstroke,None
Svajnas Adomaitis,M,19.0,Lithuania,LTU,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",None
Sharnol Leonard Adriana,M,33.0,Netherlands,NED,2004,Athina,Baseball,Baseball Men's Baseball,None
"\"Adriana \"\"Adrianinha\"\" Moiss Pinto\"",F,25.0,Brazil,BRA,2004,Athina,Basketball,Basketball Women's Basketball,None
Elisngela Maria Adriano,F,32.0,Brazil,BRA,2004,Athina,Athletics,Athletics Women's Shot Put,None
Elisngela Maria Adriano,F,32.0,Brazil,BRA,2004,Athina,Athletics,Athletics Women's Discus Throw,None
Serhiy Mykolaiovych Advena,M,20.0,Ukraine,UKR,2004,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,None
Serhiy Mykolaiovych Advena,M,20.0,Ukraine,UKR,2004,Athina,Swimming,Swimming Men's 200 metres Butterfly,None
Abel Aferalign,M,20.0,Ethiopia,ETH,2004,Athina,Boxing,Boxing Men's Bantamweight,None
Georgios Afroudakis,M,27.0,Greece,GRE,2004,Athina,Water Polo,Water Polo Men's Water Polo,None
Khristos Afroudakis,M,20.0,Greece,GRE,2004,Athina,Water Polo,Water Polo Men's Water Polo,None
Aleksandr Agafonov,M,29.0,Uzbekistan,UZB,2004,Athina,Swimming,Swimming Men's 100 metres Freestyle,None
Luca Agamennoni,M,24.0,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Rstm Aayev,M,22.0,Azerbaijan,AZE,2004,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",None
Agberto Correa de Matos,M,32.0,Brazil,BRA,2004,Athina,Handball,Handball Men's Handball,None
Khoudir Aggoune,M,23.0,Algeria,ALG,2004,Athina,Athletics,"Athletics Men's 5,000 metres",None
Mamed Aghaev,M,28.0,Armenia,ARM,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",None
Naroa Agirre Kamio,F,25.0,Spain,ESP,2004,Athina,Athletics,Athletics Women's Pole Vault,None
Neil Agius,M,18.0,Malta,MLT,2004,Athina,Swimming,Swimming Men's 400 metres Freestyle,None
Renzo Pasquale Zeglio Agresta,M,19.0,Brazil,BRA,2004,Athina,Fencing,"Fencing Men's Sabre, Individual",None
Eduardo Aguilar Estrada,M,27.0,Spain,ESP,2004,Athina,Hockey,Hockey Men's Hockey,None
"\"Elisabeth \"\"Elisa\"\" Aguilar Lpez\"",F,27.0,Spain,ESP,2004,Athina,Basketball,Basketball Women's Basketball,None
Karel Aguilar Chacn,M,24.0,Cuba,CUB,2004,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",None
Michael Aguilar,M,24.0,Belize,BIZ,2004,Athina,Athletics,Athletics Men's 400 metres Hurdles,None
