Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
A Lamusi,M,23.0,China,CHN,2012,London,Judo,Judo Men's Extra-Lightweight,None
Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,France,FRA,2012,London,Athletics,"Athletics Men's 1,500 metres",None
Abdelhak Aatakni,M,24.0,Morocco,MAR,2012,London,Boxing,Boxing Men's Light-Welterweight,None
Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,Russia,RUS,2012,London,Athletics,Athletics Women's Javelin Throw,None
Luc Abalo,M,27.0,France,FRA,2012,London,Handball,Handball Men's Handball,Gold
Mara Laura Abalo,F,30.0,Argentina,ARG,2012,London,Rowing,Rowing Women's Coxless Pairs,None
Emanuele Abate,M,27.0,Italy,ITA,2012,London,Athletics,Athletics Men's 110 metres Hurdles,None
Ilyas Abbadi,M,19.0,Algeria,ALG,2012,London,Boxing,Boxing Men's Welterweight,None
Sohail Abbas,M,37.0,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,None
Shakeel Abbasi,M,28.0,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,None
Soulmaz Abbasi Azad,F,28.0,Iran,IRI,2012,London,Rowing,Rowing Women's Single Sculls,None
Simona Abbate,F,28.0,Italy,ITA,2012,London,Water Polo,Water Polo Women's Water Polo,None
Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,Egypt,EGY,2012,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",None
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,Egypt,EGY,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,None
Ibrahim Ramadan Ibrahim Abdelbaki,M,24.0,Egypt,EGY,2012,London,Weightlifting,Weightlifting Men's Middleweight,None
Ragab Abdelhay Saad Abdelrazek Abdallah,M,21.0,Egypt,EGY,2012,London,Weightlifting,Weightlifting Men's Light-Heavyweight,None
Sayed Abdelmonem Sayed Hamed,M,23.0,Egypt,EGY,2012,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",None
Ihab Abdelrahman El-Sayed Abdelrahman,M,23.0,Egypt,EGY,2012,London,Athletics,Athletics Men's Javelin Throw,None
Mouni Abderrahim,F,26.0,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,None
Saeid Morad Abdevali,M,22.0,Iran,IRI,2012,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",None
Youcef Abdi,M,34.0,Australia,AUS,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",None
"\"Abdihakim \"\"Abdi\"\" Abdirahman\"",M,35.0,United States,USA,2012,London,Athletics,Athletics Men's Marathon,None
Yhyacinthe Mewoli Abdon,M,26.0,Cameroon,CMR,2012,London,Boxing,Boxing Men's Lightweight,None
Dana Abdul Razak (Hussain-),F,26.0,Iraq,IRQ,2012,London,Athletics,Athletics Women's 100 metres,None
Mona Ahmad Abdulaziz Hassanein,F,26.0,Egypt,EGY,2012,London,Fencing,"Fencing Women's epee, Individual",None
Ahmed Abdulkareem Ahmed,M,20.0,Iraq,IRQ,2012,London,Boxing,Boxing Men's Welterweight,None
Muminzhon Abdullayev,M,22.0,Uzbekistan,UZB,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",None
Laye Abdullayeva,F,21.0,Azerbaijan,AZE,2012,London,Athletics,"Athletics Women's 5,000 metres",None
Abir Abdulrahman Khalil Mahmoud Khalil,F,20.0,Egypt,EGY,2012,London,Weightlifting,Weightlifting Women's Heavyweight,None
Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23.0,United Arab Emirates,UAE,2012,London,Football,Football Men's Football,None
Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20.0,United Arab Emirates,UAE,2012,London,Football,Football Men's Football,None
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,Egypt,EGY,2012,London,Synchronized Swimming,Synchronized Swimming Women's Duet,None
Shaza Yahia Nazih Abdulrahman El-Sayed,F,19.0,Egypt,EGY,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,None
Mohamed Abdultwab Ibrahim Abd El-Baki,M,25.0,Egypt,EGY,2012,London,Weightlifting,Weightlifting Men's Lightweight,None
