Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Rasul Abduraim,M,23.0,Kyrgyzstan,KGZ,2012,London,Taekwondo,Taekwondo Men's Welterweight,None
Yusup Abdusalomov,M,34.0,Tajikistan,TJK,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",None
Mojtaba Abedini Shormasti,M,27.0,Iran,IRI,2012,London,Fencing,"Fencing Men's Sabre, Individual",None
Jennifer Abel,F,20.0,Canada,CAN,2012,London,Diving,Diving Women's Springboard,None
Jennifer Abel,F,20.0,Canada,CAN,2012,London,Diving,Diving Women's Synchronized Springboard,Bronze
Yaritza Abel Rojas,F,28.0,Cuba,CUB,2012,London,Judo,Judo Women's Half-Middleweight,None
Mohamed Aberhoune,M,23.0,Morocco,MAR,2012,London,Football,Football Men's Football,None
Pablo Abin Vicen,M,27.0,Spain,ESP,2012,London,Badminton,Badminton Men's Singles,None
Tomomi Abiko,F,24.0,Japan,JPN,2012,London,Athletics,Athletics Women's Pole Vault,None
Camille Anne Franoise Abily,F,27.0,France,FRA,2012,London,Football,Football Women's Football,None
Endurance Abinuwa,F,24.0,Nigeria,NGR,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,None
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Team All-Around,None
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Parallel Bars,None
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,None
Denis Mikhaylovich Ablyazin,M,19.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Men's Rings,None
Bukola Dammy Abogunloko,F,17.0,Nigeria,NGR,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,None
Rabah Aboud,M,31.0,Algeria,ALG,2012,London,Athletics,"Athletics Men's 5,000 metres",None
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,Egypt,EGY,2012,London,Fencing,"Fencing Men's Foil, Individual",Silver
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,Egypt,EGY,2012,London,Fencing,"Fencing Men's Foil, Team",None
Mohamed Mohamed Mohamed Aboutrika,M,33.0,Egypt,EGY,2012,London,Football,Football Men's Football,None
Arnaldo Lus Isaas Abrantes,M,25.0,Portugal,POR,2012,London,Athletics,Athletics Men's 200 metres,None
Amir Abrashi,M,22.0,Switzerland,SUI,2012,London,Football,Football Men's Football,None
rika Abril Surez,F,34.0,Colombia,COL,2012,London,Athletics,Athletics Women's Marathon,None
Laura Valentina Abril Restrepo,F,22.0,Colombia,COL,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",None
Julien Absalon,M,31.0,France,FRA,2012,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",None
Ayele Abshero Biza,M,21.0,Ethiopia,ETH,2012,London,Athletics,Athletics Men's Marathon,None
Methkal Marouf Abu Drais,M,28.0,Jordan,JOR,2012,London,Athletics,Athletics Men's Marathon,None
Maher Abu Rmilah,M,28.0,Palestine,PLE,2012,London,Judo,Judo Men's Lightweight,None
Mohammad Abulibdeh,M,28.0,Jordan,JOR,2012,London,Taekwondo,Taekwondo Men's Featherweight,None
Kanat Kalizhanovich Abutalipov,M,29.0,Kazakhstan,KAZ,2012,London,Boxing,Boxing Men's Bantamweight,None
Irina Alekseyevna Abysova,F,31.0,Russia,RUS,2012,London,Triathlon,Triathlon Women's Olympic Distance,None
William Accambray,M,24.0,France,FRA,2012,London,Handball,Handball Men's Handball,Gold
Raidel Acea Morales,M,21.0,Cuba,CUB,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,None
Loreto Achaerandio Snchez-Marn,F,20.0,Spain,ESP,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,None
Kieron Robert Achara,M,29.0,Great Britain,GBR,2012,London,Basketball,Basketball Men's Basketball,None
Janet Achola,F,24.0,Uganda,UGA,2012,London,Athletics,"Athletics Women's 1,500 metres",None
Natalie Chioma Achonwa,F,19.0,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,None
Dallal Merwa Achour,F,17.0,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,None
Haykel Al-Achouri,M,27.0,Tunisia,TUN,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Chantal Achterberg,F,27.0,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Luz Mercedes Acosta Valdez,F,31.0,Mexico,MEX,2012,London,Weightlifting,Weightlifting Women's Middleweight,None
"\"Amelia Lynn \"\"Amy\"\" Acuff (-Harvey)\"",F,37.0,United States,USA,2012,London,Athletics,Athletics Women's High Jump,None
Crox Ernesto Acua Rodrguez,M,22.0,Venezuela,VEN,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,None
Mariko Adachi,F,29.0,Japan,JPN,2012,London,Triathlon,Triathlon Women's Olympic Distance,None
Yumi Adachi,F,23.0,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,None
Idrissa Adam,M,27.0,Cameroon,CMR,2012,London,Athletics,Athletics Men's 100 metres,None
Tomasz Adamiec,M,30.0,Poland,POL,2012,London,Judo,Judo Men's Lightweight,None
Nafissatou Moussa Adamou,F,14.0,Niger,NIG,2012,London,Swimming,Swimming Women's 50 metres Freestyle,None
Antoine Xavier Adams,M,23.0,Saint Kitts and Nevis,SKN,2012,London,Athletics,Athletics Men's 100 metres,None
Antoine Xavier Adams,M,23.0,Saint Kitts and Nevis,SKN,2012,London,Athletics,Athletics Men's 200 metres,None
Antoine Xavier Adams,M,23.0,Saint Kitts and Nevis,SKN,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,None
Natalie Cammile Adams (-Brannan),F,20.0,United States,USA,2012,London,Swimming,Swimming Women's 200 metres Butterfly,None
Luke Kendall Adams,M,35.0,Australia,AUS,2012,London,Athletics,Athletics Men's 50 kilometres Walk,None
Lyukman Rasakovich Adams,M,23.0,Russia,RUS,2012,London,Athletics,Athletics Men's Triple Jump,None
Nicola Virginia Adams,F,29.0,Great Britain,GBR,2012,London,Boxing,Boxing Women's Flyweight,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,New Zealand,NZL,2012,London,Athletics,Athletics Women's Shot Put,Gold
Filip Kamil Adamski,M,29.0,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold
"\"Christopher Thomas \"\"Chris\"\" Adcock\"",M,23.0,Great Britain,GBR,2012,London,Badminton,Badminton Mixed Doubles,None
Jangy McKinley Addy,M,27.0,Liberia,LBR,2012,London,Athletics,Athletics Men's Decathlon,None
Abrar Osman Adem,M,18.0,Eritrea,ERI,2012,London,Athletics,"Athletics Men's 5,000 metres",None
Adenzia Aparecida Ferreira da Silva,F,25.0,Brazil,BRA,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Margaret Adetutu Adeoye,F,27.0,Great Britain,GBR,2012,London,Athletics,Athletics Women's 200 metres,None
Moriam Seun Adigun,F,25.0,Nigeria,NGR,2012,London,Athletics,Athletics Women's 100 metres Hurdles,None
Christian Donfack Adjoufack,M,28.0,Cameroon,CMR,2012,London,Boxing,Boxing Men's Light-Heavyweight,None
Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012,London,Gymnastics,Gymnastics Women's Individual All-Around,None
Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,None
Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012,London,Gymnastics,Gymnastics Women's Uneven Bars,None
Jonna Eva-Maj Adlerteg,F,17.0,Sweden,SWE,2012,London,Gymnastics,Gymnastics Women's Balance Beam,None
"\"Rebecca \"\"Becky\"\" Adlington\"",F,23.0,Great Britain,GBR,2012,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"\"Rebecca \"\"Becky\"\" Adlington\"",F,23.0,Great Britain,GBR,2012,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,M,23.0,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"\"Adriana \"\"Adrianinha\"\" Moiss Pinto\"",F,33.0,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,None
Jasper Aerents,M,19.0,Belgium,BEL,2012,London,Swimming,Swimming Men's 50 metres Freestyle,None
Jasper Aerents,M,19.0,Belgium,BEL,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,None
Sara Aerts,F,28.0,Belgium,BEL,2012,London,Athletics,Athletics Women's Heptathlon,None
Kseniya Dmitriyevna Afanasyeva,F,20.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
Kseniya Dmitriyevna Afanasyeva,F,20.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,None
Kseniya Dmitriyevna Afanasyeva,F,20.0,Russia,RUS,2012,London,Gymnastics,Gymnastics Women's Balance Beam,None
Khairulnizam Mohd Afendy,M,19.0,Malaysia,MAS,2012,London,Sailing,Sailing Men's One Person Dinghy,None
Franois Jacques Affolter,M,21.0,Switzerland,SUI,2012,London,Football,Football Men's Football,None
Georgios Afroudakis,M,35.0,Greece,GRE,2012,London,Water Polo,Water Polo Men's Water Polo,None
Khristos Afroudakis,M,28.0,Greece,GRE,2012,London,Water Polo,Water Polo Men's Water Polo,None
Drago Agache,M,28.0,Romania,ROU,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,None
Alphonsine Agahozo,F,16.0,Rwanda,RWA,2012,London,Swimming,Swimming Women's 50 metres Freestyle,None
Luca Agamennoni,M,31.0,Italy,ITA,2012,London,Rowing,Rowing Men's Coxless Fours,None
Komi-Mawussi Agbetoglo,M,18.0,Togo,TOG,2012,London,Table Tennis,Table Tennis Men's Singles,None
Marilyn Agliotti,F,33.0,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,M,20.0,France,FRA,2012,London,Swimming,Swimming Men's 100 metres Freestyle,None
Yannick Agnel,M,20.0,France,FRA,2012,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,M,20.0,France,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,M,20.0,France,FRA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Yannick Agnel,M,20.0,France,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,None
Anna Agrafioti,F,21.0,Greece,GRE,2012,London,Sailing,Sailing Women's One Person Dinghy,None
Ulrika Maria gren,F,25.0,Sweden,SWE,2012,London,Handball,Handball Women's Handball,None
Renzo Pasquale Zeglio Agresta,M,27.0,Brazil,BRA,2012,London,Fencing,"Fencing Men's Sabre, Individual",None
Alberto Martn Aguilar Surez,M,27.0,Venezuela,VEN,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,None
Alessandra Aguilar Morn,F,34.0,Spain,ESP,2012,London,Athletics,Athletics Women's Marathon,None
Iaki Aguilar Vicente,M,28.0,Spain,ESP,2012,London,Water Polo,Water Polo Men's Water Polo,None
Macarena Aguilar Daz,F,27.0,Spain,ESP,2012,London,Handball,Handball Women's Handball,Bronze
Sandra Aguilar Navarro,F,19.0,Spain,ESP,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,None
Julen Aguinagalde Akizu,M,29.0,Spain,ESP,2012,London,Handball,Handball Men's Handball,None
Jeinkler Ernesto Aguirre Manso,M,22.0,Cuba,CUB,2012,London,Diving,Diving Men's Platform,None
Jeinkler Ernesto Aguirre Manso,M,22.0,Cuba,CUB,2012,London,Diving,Diving Men's Synchronized Platform,None
Marcelo Vctor Aguirre,M,19.0,Paraguay,PAR,2012,London,Table Tennis,Table Tennis Men's Singles,None
Matas Aguirregaray Guruceaga,M,23.0,Uruguay,URU,2012,London,Football,Football Men's Football,None
Mikel Aguirrezabalaga Garca,M,28.0,Spain,ESP,2012,London,Handball,Handball Men's Handball,None
Feta Ahamada,F,25.0,Comoros,COM,2012,London,Athletics,Athletics Women's 100 metres,None
Johanna Maria Helne Ahlm,F,24.0,Sweden,SWE,2012,London,Handball,Handball Women's Handball,None
Christian Ahlmann,M,37.0,Germany,GER,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",None
Christian Ahlmann,M,37.0,Germany,GER,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",None
Mohamed Ahmad Ali Gharib Juma,M,23.0,United Arab Emirates,UAE,2012,London,Football,Football Men's Football,None
Tontowi Ahmad,M,25.0,Indonesia,INA,2012,London,Badminton,Badminton Mixed Doubles,None
Waseem Ahmad,M,35.0,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,None
Elaheh Ahmadi,F,30.0,Iran,IRI,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Elaheh Ahmadi,F,30.0,Iran,IRI,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",None
Azneem Ahmed,M,23.0,Maldives,MDV,2012,London,Athletics,Athletics Men's 100 metres,None
Fareed Ahmed,M,23.0,Pakistan,PAK,2012,London,Hockey,Hockey Men's Hockey,None
Mohammed Ahmed,M,21.0,Canada,CAN,2012,London,Athletics,"Athletics Men's 10,000 metres",None
Shehabeldin Ahmed Saad Ahmed Saad,M,21.0,Egypt,EGY,2012,London,Football,Football Men's Football,None
Odile Ahouanwanou,F,21.0,Benin,BEN,2012,London,Athletics,Athletics Women's 100 metres Hurdles,None
Murielle Ahour,F,24.0,Cote d'Ivoire,CIV,2012,London,Athletics,Athletics Women's 100 metres,None
Murielle Ahour,F,24.0,Cote d'Ivoire,CIV,2012,London,Athletics,Athletics Women's 200 metres,None
Gaby Diana Ahrens,F,31.0,Namibia,NAM,2012,London,Shooting,Shooting Women's Trap,None
Mohammad Ahsan,M,24.0,Indonesia,INA,2012,London,Badminton,Badminton Men's Doubles,None
Johannes Ahun,M,24.0,Estonia,EST,2012,London,Sailing,Sailing Men's Windsurfer,None
Michelle-Lee Raquel Ahye,F,20.0,Trinidad and Tobago,TTO,2012,London,Athletics,Athletics Women's 100 metres,None
Michelle-Lee Raquel Ahye,F,20.0,Trinidad and Tobago,TTO,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,None
Matteo Aicardi,M,26.0,Italy,ITA,2012,London,Water Polo,Water Polo Men's Water Polo,Silver
Neringa Aidietyt,F,29.0,Lithuania,LTU,2012,London,Athletics,Athletics Women's 20 kilometres Walk,None
Hannes Aigner,M,23.0,Germany,GER,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
"\"Charles Benedict \"\"Ben\"\" Ainslie\"",M,35.0,Great Britain,GBR,2012,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
Tassadit Assou,F,23.0,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,None
Zied Ait Ouagram,M,23.0,Tunisia,TUN,2012,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",None
Souad At Salem (-Mahour-Bacha),F,33.0,Algeria,ALG,2012,London,Athletics,Athletics Women's Marathon,None
Artur Surenovych Aivazian,M,39.0,Ukraine,UKR,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",None
Artur Surenovych Aivazian,M,39.0,Ukraine,UKR,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",None
Artur Surenovych Aivazian,M,39.0,Ukraine,UKR,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",None
Muideen Akanji,M,20.0,Nigeria,NGR,2012,London,Boxing,Boxing Men's Middleweight,None
Tolga Aslan Akcayli,M,19.0,Saint Vincent and the Grenadines,VIN,2012,London,Swimming,Swimming Men's 50 metres Freestyle,None
Tark Langat Akda,M,24.0,Turkey,TUR,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",None
Ahmet Akdilek,M,24.0,Turkey,TUR,2012,London,Cycling,"Cycling Men's Road Race, Individual",None
Ahmet Akdilek,M,24.0,Turkey,TUR,2012,London,Cycling,Cycling Men's Individual Time Trial,None
Taha Akgl,M,21.0,Turkey,TUR,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",None
Giorgos Akhilleos,M,31.0,Cyprus,CYP,2012,London,Shooting,Shooting Men's Skeet,None
Habibollah Jomeh Akhlaghi,M,26.0,Iran,IRI,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Artur Kamilevich Akhmatkhuzin,M,24.0,Russia,RUS,2012,London,Fencing,"Fencing Men's Foil, Individual",None
Artur Kamilevich Akhmatkhuzin,M,24.0,Russia,RUS,2012,London,Fencing,"Fencing Men's Foil, Team",None
Foluke Antinuke Akinradewo,F,24.0,United States,USA,2012,London,Volleyball,Volleyball Women's Volleyball,Silver
Jonathan Akinyemi,M,23.0,Nigeria,NGR,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",None
Malika Al-Akkaoui,F,24.0,Morocco,MAR,2012,London,Athletics,Athletics Women's 800 metres,None
Youssef Akrout,M,21.0,Tunisia,TUN,2012,London,Sailing,Sailing Men's One Person Dinghy,None
Chie Akutsu,F,27.0,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,None
Noah Akwu,M,21.0,Nigeria,NGR,2012,London,Athletics,Athletics Men's 200 metres,None
Ali Ahmed Al-Amri,M,27.0,Saudi Arabia,KSA,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",None
Dhaher Al-Aryani,M,39.0,United Arab Emirates,UAE,2012,London,Shooting,Shooting Men's Trap,None
Yousef Al-Askari,M,18.0,Kuwait,KUW,2012,London,Swimming,Swimming Men's 200 metres Butterfly,None
Rashid Salih Hamad Al-Athba,M,31.0,Qatar,QAT,2012,London,Shooting,Shooting Men's Trap,None
Rashid Salih Hamad Al-Athba,M,31.0,Qatar,QAT,2012,London,Shooting,Shooting Men's Double Trap,None
Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,Qatar,QAT,2012,London,Shooting,Shooting Men's Skeet,Bronze
Mohamed Mutlaq Khalaf Al-Azemi,M,30.0,Kuwait,KUW,2012,London,Athletics,Athletics Men's 800 metres,None
Mohanad Ahmed Dheyaa Al-Azzawi,M,15.0,Iraq,IRQ,2012,London,Swimming,Swimming Men's 100 metres Butterfly,None
Mubarak Muhammad Salem Al-Besher,M,24.0,United Arab Emirates,UAE,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,None
Sultan Mubarak M. Al-Dawoodi,M,27.0,Saudi Arabia,KSA,2012,London,Athletics,Athletics Men's Discus Throw,None
Fehaid Al-Deehani,M,45.0,Kuwait,KUW,2012,London,Shooting,Shooting Men's Trap,Bronze
Fehaid Al-Deehani,M,45.0,Kuwait,KUW,2012,London,Shooting,Shooting Men's Double Trap,None
Humaid Rashd Al-Derei,M,21.0,United Arab Emirates,UAE,2012,London,Judo,Judo Men's Half-Lightweight,None
Ramzy Al-Duhami,M,40.0,Saudi Arabia,KSA,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",None
Ramzy Al-Duhami,M,40.0,Saudi Arabia,KSA,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Bahaa Al-Farra,M,21.0,Palestine,PLE,2012,London,Athletics,Athletics Men's 400 metres,None
Sara Abdulrahman Al-Flaij,F,16.0,Bahrain,BRN,2012,London,Swimming,Swimming Women's 50 metres Freestyle,None
Mostafa Muhammad Hisham Muhammad Salah Abdulhamid Al-Gamel,M,23.0,Egypt,EGY,2012,London,Athletics,Athletics Men's Hammer Throw,None
Nabil Mohammed Al-Garbi,M,18.0,Yemen,YEM,2012,London,Athletics,"Athletics Men's 1,500 metres",None
Mohamad Al-Garni,M,20.0,Qatar,QAT,2012,London,Athletics,"Athletics Men's 1,500 metres",None
Shinoona Salah Al-Habsi,F,19.0,Oman,OMA,2012,London,Athletics,Athletics Women's 100 metres,None
Bahya Mansour Al-Hamad,F,20.0,Qatar,QAT,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Bahya Mansour Al-Hamad,F,20.0,Qatar,QAT,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",None
Hussain Jamaan Al-Hamdah,M,29.0,Saudi Arabia,KSA,2012,London,Athletics,"Athletics Men's 5,000 metres",None
Ismail Salem Al-Hammadi,M,24.0,United Arab Emirates,UAE,2012,London,Football,Football Men's Football,None
Barakat Mubarak Al-Harthi,M,24.0,Oman,OMA,2012,London,Athletics,Athletics Men's 100 metres,None
Ibrahim Al-Hasan,M,25.0,Kuwait,KUW,2012,London,Table Tennis,Table Tennis Men's Singles,None
Ahmed bin Saalim Al-Hatmi,M,27.0,Oman,OMA,2012,London,Shooting,Shooting Men's Double Trap,None
Abdullah Abdulaziz Al-Joud,M,37.0,Saudi Arabia,KSA,2012,London,Athletics,"Athletics Men's 5,000 metres",None
Hamdan Ismail Muhammad Al-Kamali,M,23.0,United Arab Emirates,UAE,2012,London,Football,Football Men's Football,None
Tameem Mohammed Ahmed Al-Kubati,M,23.0,Yemen,YEM,2012,London,Taekwondo,Taekwondo Men's Flyweight,None
Juma bin Dalmouk bin Juma bin Maktoum Al-Maktoum,M,27.0,United Arab Emirates,UAE,2012,London,Shooting,Shooting Men's Double Trap,None
Saeed bin Hasher Al-Maktoum,M,35.0,United Arab Emirates,UAE,2012,London,Shooting,Shooting Men's Skeet,None
Noor Hussain Al-Malki,F,17.0,Qatar,QAT,2012,London,Athletics,Athletics Women's 100 metres,None
Rand Saad Mahmood Al-Mashhadani,F,17.0,Iraq,IRQ,2012,London,Archery,Archery Women's Individual,None
Mhasin Al-Noor Fadlalla,F,18.0,Sudan,SUD,2012,London,Swimming,Swimming Women's 50 metres Freestyle,None
Moukheld Mahil F. Al-Outaibi,M,36.0,Saudi Arabia,KSA,2012,London,Athletics,"Athletics Men's 5,000 metres",None
Moukheld Mahil F. Al-Outaibi,M,36.0,Saudi Arabia,KSA,2012,London,Athletics,"Athletics Men's 10,000 metres",None
Abbas Al-Qaisoum,M,31.0,Saudi Arabia,KSA,2012,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,None
Samira Al-Raf,F,38.0,Morocco,MAR,2012,London,Athletics,Athletics Women's Marathon,None
Abdullah Al-Rashidi,M,48.0,Kuwait,KUW,2012,London,Shooting,Shooting Men's Skeet,None
Talal Al-Rashidi,M,19.0,Kuwait,KUW,2012,London,Shooting,Shooting Men's Trap,None
Abouhalima Muhammad Al-Sa'id Abdallah Abouhalima,M,18.0,Egypt,EGY,2012,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",None
Omar Al-Sabahi Muhammad Muhammad Emira,M,35.0,Egypt,EGY,2012,London,Rowing,Rowing Men's Lightweight Double Sculls,None
